"id";"ll_author_id";"nl_author_id";"born_date";"author_name"
1;4215;0;"-5385340744";"Александр Пушкин"
2;159667;0;"-430905544";"Артур Голден"
3;232293;0;"-2987049544";"Томас Манн"
4;235326;0;"137088055";"Гийом Мюссо"
5;218171;0;"-1472371144";"Вирджиния Эндрюс"
6;236311;0;"105552055";"Патрик Ротфусс"
7;21540;0;"-210067144";"Федерико Андахази"
8;315599;0;"10857655";"Сара Дессен"
9;118124;0;"-11475849544";"Пьер Корнель"
10;21669;0;"-115372743";"Илья Масодов"
11;147014;0;"-1125215943";"Таити Ямада"
12;194934;0;"-462527943";"Олеся Николаева"
13;231174;0;"-4059964743";"Элиза Ожешко"
14;19336;0;"-1282982343";"Виктор Конецкий"
15;11638;0;"-525599943";"Апостолос Доксиадис"
16;645;0;"-2103521932";"Борис Поплавский"
17;307309;0;"-2355897543";"Владимир Зазубрин"
18;327831;0;"-3081657543";"Императрица Александра Федоровна Романова"
19;104029;0;"-1503907141";"Ежи Брошкевич"
20;557670;0;"-620294341";"Алексей Дударев"
21;184548;0;"326476858";"Елена Тыртышникова"
22;329787;0;"10857658";"Ирина Костевич"
23;310187;0;"421081258";"Го Цзинмин"
24;125043;0;"-367833541";"Пол Баррел"
25;235636;0;"-210067141";"Луис Леанте"
26;304142;0;"-462527941";"Ли Смолин"
27;345000;0;"-273139141";"Анатолий Матвиенко"
28;309223;0;"-304675140";"Джон Элдридж"
29;341635;0;"-178444740";"Джей Лейк"
30;315563;0;"-1661672329";"Александр Якубенко"
31;12166;0;"-1914133129";"Исайя Берлин"
32;230950;0;"-2450505540";"Глеб Алексеев"
33;192099;0;"-3207887940";"Роберт Фолкон Скотт"
34;435575;0;"294854459";"Кэрол Мэттьюс"
35;27961;0;"-304675140";"Сергей Борисов"
36;340489;0;"-1125215939";"Генри А. Келли"
37;327118;0;"168624060";"Олекса Росич"
38;169805;0;"-904291139";"Дэвид Кристал"
39;961294;0;"547311660";"Елена Крыгина"
40;423314;0;"-146908739";"Эрик Фоснес Хансен"
41;325017;0;"-1630136328";"Мартин Юлиус Эсслин"
42;619929;0;"578934060";"Александра Гардт"
43;512803;0;"-1440748739";"Роберт Абернати"
44;151123;0;"-1914133128";"Семён Бабаевский"
45;227799;0;"-1251446337";"Юрий Самсонов"
46;363363;0;"-746524737";"Юрий Беспятых"
47;105931;0;"-2229667137";"Николай Ушаков"
48;501703;0;"-1188287937";"Марк Перельман"
49;170792;0;"-7247174337";"Луи-Себастьян Мерсье"
50;674506;0;"-2040363526";"Леонид Потапов"
51;120389;0;"-935827137";"Кира Сапгир"
52;105193;0;"-620294337";"Владимир Аристов"
53;333029;0;"-557135937";"Дебора Кромби"
54;279203;0;"-1093679936";"Ирина Дубровина"
55;118868;0;"-494063936";"Геннадий Бордюгов"
56;9788;0;"-1787902725";"Исай Лукодьянов"
57;556824;0;"-904291136";"Шокан Алимбаев"
58;439806;0;"-2008827525";"Юнио Валерио Боргезе"
59;393337;0;"389545263";"Владимир Пахомов"
60;115176;0;"-557049533";"Орхан Памук"
61;72;0;"-557049533";"Дарья Донцова"
62;16892;0;"-399283133";"Фред Варгас"
63;325688;0;"-557049533";"Елена Габова"
64;365788;0;"137174466";"Беар Гриллс"
65;5499;0;"-5543020733";"Петр Чаадаев"
66;326059;0;"-872672333";"Муаммар Каддафи"
67;167344;0;"-3838953533";"Поль Гоген"
68;161073;0;"-4564799933";"Ричард Блэкмор"
69;98;0;"-304588732";"Роман Канушкин"
70;156744;0;"-4123036732";"Чарльз Линдли"
71;118480;0;"-1188201532";"Кит Рид"
72;14669;0;"-935740732";"Аркадий Едигес"
73;299755;0;"-1472284732";"Михаил Колосов"
74;235564;0;"326563267";"Светлана Быкова"
75;116712;0;"-1156665532";"Аркадий Арканов"
76;303836;0;"-2008741121";"Константин Платонов"
77;16657;0;"-1503820732";"Александр Кравчук"
78;301456;0;"-2229580731";"Элизабет Боуэн"
79;19071;0;"-115286331";"Лоренсо Сильва"
80;334420;0;"-2103435520";"Иван Багмут"
81;231792;0;"-115286331";"Марк Равенхилл"
82;355357;0;"-3270959931";"Эрнест Уильям Хорнунг"
83;309752;0;"-998899131";"Александр Дольский"
84;315323;0;"231868868";"Элиф Батуман"
85;335069;0;"-2071813120";"Торкильд Якобсен"
86;647;0;"-4470105531";"Борис Чичерин"
87;343026;0;"389631669";"Олег Силин"
88;329563;0;"-777974330";"Наталья Шубникова-Гусева"
89;288825;0;"-2292652730";"Габор фон Васари"
90;182656;0;"-2071813119";"А. Лео Оппенхейм"
91;114439;0;"-209980730";"Алексей Толочко"
92;435316;0;"-1598513919";"Роже Борниш"
93;518971;0;"-209980730";"Амарсана Улзытуев"
94;377246;0;"579020469";"Василь Карп&#039;юк"
95;347819;0;"-3081571130";"Бенедикт Герц"
96;30983;0;"-588671928";"Всеволод Багно"
97;680096;0;"-462441528";"Марк Шульц"
98;528436;0;"-2134971517";"Вольф Эрлих"
99;517306;0;"-2008741117";"Нина Владыкина-Бачинская"
100;362824;0;"-1093593528";"Гарри Крюс"
101;99646;0;"-493977528";"Луиза Эрдрич"
102;19254;0;"-1346054328";"Всеволод Ежов"
103;950584;0;"-1535356728";"Пол Гундерсен"
104;814017;0;"-1188201528";"Міхась Герчык"
105;810749;0;"-462441527";"Рафис Кадыров"
106;690691;0;"-178358327";"Дмитрий Квашнин"
107;660706;0;"-1850974716";"Владимир Жданов"
108;606165;0;"-1093593527";"Анатолий Карпов"
109;562313;0;"-1346054327";"Фредерика Эбрар"
110;542920;0;"-1093593527";"Улла-Бритт Котсинас"
111;511864;0;"-493977527";"Олексій Кацай"
112;362722;0;"-651743927";"Михаил Песин"
113;343682;0;"-809510327";"Хяртан Флёгстад"
